year,iiag_overall_governance,iiag_security_rol,iiag_human_development,iiag_health,iiag_education,iiag_soc_protection,iiag_abs_lived_poverty,iiag_pov_reduction_pol,iiag_child_maternal_health
2014,47.1,43.9,45.4,42.5,51.2,50.5,63.5,52.3,19.6
2015,48.3,46.1,45.5,42.7,50.1,50.2,63.5,52.3,20.5
2016,48.7,47.7,45.4,43.2,49.1,51.0,64.8,53.1,20.8
2017,47.9,45.8,44.6,43.2,47.7,49.7,66.1,53.8,21.3
2018,48.4,46.8,46.2,43.7,48.0,52.8,67.4,51.3,22.0
2019,47.6,44.2,47.2,44.2,52.0,50.2,57.3,53.5,23.2
2020,47.2,42.3,47.4,43.9,51.0,50.8,47.2,52.5,25.7
2021,45.7,40.9,46.5,43.9,50.5,46.8,34.9,51.3,26.8
2022,45.6,39.8,46.5,46.3,50.4,44.7,22.6,51.1,27.8
2023,45.7,39.7,46.4,44.6,51.1,44.8,22.6,50.9,28.0
