subregion,nemis_pre_schools,nemis_pre_enrol,nemis_pre_pupil_per_school,nemis_pre_public_pct,nemis_pre_rural_pct,nemis_primary_schools,nemis_primary_enrol,nemis_primary_pupil_per_school,nemis_primary_public_pct,nemis_primary_rural_pct,nemis_jss_schools,nemis_jss_enrol,nemis_jss_pupil_per_school,nemis_jss_public_pct,nemis_jss_rural_pct,nemis_sss_schools,nemis_sss_enrol,nemis_sss_pupil_per_school,nemis_sss_public_pct,nemis_sss_rural_pct,nemis_total_schools,nemis_total_enrol,nemis_public_pct,nemis_rural_pct
Abia,1871.0,166771.0,91.18151995626025,47.247461250668096,72.367717797969,1866.0,353303.0,189.33708467309754,47.37406216505895,72.40085744908896,794,86122.0,109.29187817258884,32.367758186397985,69.77329974811083,430,61968.0,145.46478873239437,58.139534883720934,87.90697674418605,4961.0,668164.0,46.28220412146149,75.61221293483871
Adamawa,1392.0,127144.0,98.25656877897991,31.82471264367816,56.17816091954023,2853.0,787817.0,276.13634770417104,69.57588503329828,75.77988082719943,921,161368.0,176.55142231947482,57.32899022801303,60.15200868621064,514,116127.0,225.92801556420233,60.505836575875485,55.6420233463035,5680.0,1192456.0,54.80885612021624,61.93801844481345
Akwa Ibom,2735.0,549729.0,201.36593406593406,42.6691042047532,71.18829981718464,2735.0,1844171.0,674.5321872713972,42.6691042047532,71.18829981718464,637,337316.0,530.37106918239,40.97331240188383,62.637362637362635,615,236192.0,384.0520325203252,42.60162601626016,63.90243902439025,6722.0,2967408.0,42.2282867069126,67.22910032403054
Anambra,2986.0,255739.0,87.2531559194814,35.5324849296718,56.93235097119893,2987.0,544310.0,183.14602960969043,35.52058921995313,57.683294275192495,963,163374.0,169.65109034267914,27.206645898234683,47.87123572170301,948,135299.0,143.62951167728238,27.637130801687764,46.62447257383967,7884.0,1098722.0,31.474212712386844,52.27783838548352
Bayelsa,873.0,17966.0,26.0,14.20389461626575,36.769759450171826,1340.0,0.0,,41.04477611940299,60.223880597014926,526,0.0,,40.11406844106464,45.627376425855516,485,0.0,,43.29896907216495,44.123711340206185,3224.0,17966.0,34.66542706222458,46.686181953312115
Benue,583.0,53402.0,98.34622467771639,49.914236706689536,65.86620926243569,4705.0,576438.0,166.02476958525347,60.786397449521786,79.04357066950053,1688,135258.0,121.5256064690027,40.87677725118483,63.56635071090048,1895,48304.0,130.90514905149053,16.2532981530343,59.419525065963064,8871.0,813402.0,41.95767739010761,66.97391392719994
Cross River,2015.0,109684.0,54.433746898263024,53.20099255583126,83.8213399503722,2015.0,296968.0,147.3786600496278,53.20099255583126,83.97022332506204,700,224002.0,320.0028571428571,42.142857142857146,69.57142857142857,701,158115.0,225.55634807417974,42.0827389443652,69.6148359486448,5431.0,788769.0,47.656895299721214,76.7444569488769
Delta,1136.0,55523.0,77.54608938547486,97.79929577464789,76.32042253521126,1153.0,336335.0,296.85348631950575,97.74501300954033,76.4093668690373,1216,208603.0,173.69109075770191,35.36184210526316,59.375,540,46924.0,89.72084130019121,2.7777777777777777,24.62962962962963,4045.0,647385.0,58.420982166807285,59.18360475846954
Ebonyi,,,,,,,,,,,334,62444.0,186.95808383233532,0.0,77.24550898203593,382,72749.0,190.44240837696336,60.73298429319372,85.07853403141361,716.0,135193.0,30.36649214659686,81.16202150672477
Edo,1663.0,148021.0,89.16927710843373,44.25736620565244,63.01864101022249,2069.0,322480.0,157.23061921014138,51.03914934751087,68.19719671338811,1115,149228.0,134.1978417266187,27.982062780269057,54.529147982062774,861,94858.0,110.3,27.293844367015097,58.30429732868757,5708.0,714587.0,37.64310567511187,61.012320758590235
Ekiti,1467.0,96548.0,70.31900946831755,61.62235855487389,30.40218132242672,1239.0,252203.0,219.49782419495213,73.36561743341404,33.89830508474576,351,55519.0,222.076,51.28205128205128,36.182336182336186,252,45236.0,228.46464646464648,65.87301587301587,40.476190476190474,3309.0,449506.0,63.03576078583877,35.239753266424785
Enugu,3731.0,228441.0,61.22782095952827,30.0187617260788,73.30474403645135,3963.0,483319.0,121.95786020691395,30.481958112541,74.79182437547313,1021,147341.0,144.31047992164545,28.89324191968658,76.29774730656219,937,127767.0,136.35752401280683,31.270010672358588,77.6947705442903,9652.0,986868.0,30.16599310766624,75.52227156569424
Federal Capital Territory,706.0,71067.0,100.66147308781869,58.21529745042493,51.98300283286119,1483.0,448581.0,307.2472602739726,80.24275118004046,73.97167902899528,353,154992.0,449.25217391304346,49.57507082152974,44.759206798866856,194,93617.0,508.7880434782609,45.876288659793815,38.659793814432994,2736.0,768257.0,58.477352027947234,52.34342061878908
Gombe,819.0,71298.0,87.80541871921183,40.78144078144078,57.02075702075702,2101.0,610518.0,291.13876967095854,73.58400761542123,80.29509757258448,635,126432.0,199.41955835962145,55.59055118110236,61.732283464566926,314,89196.0,285.88461538461536,44.904458598726116,50.63694267515923,3869.0,897444.0,53.71511454417262,62.42127018326691
Imo,2808.0,475391.88,176.2669187986652,45.4059829059829,82.08689458689459,2808.0,1806339.2,656.8506181818183,45.4059829059829,82.3005698005698,711,486506.2,690.0797163120568,42.616033755274266,74.1209563994374,708,457603.4,652.7865905848788,42.51412429378531,74.29378531073446,7035.0,3225840.68,43.985530965256345,78.20055152440906
Jigawa,2165.0,186316.0,93.11144427786107,89.56120092378754,79.12240184757505,3679.0,1095399.0,297.74368034792064,67.62707257406903,79.17912476216364,641,178059.0,283.0826709062003,88.9235569422777,64.89859594383776,269,125657.0,494.71259842519686,80.29739776951673,39.03345724907063,6754.0,1585431.0,81.60230705241275,65.55839495066176
Kano,4603.0,517562.0,112.56241844280122,81.42515750597437,57.59287421247012,7543.0,3334539.0,442.07066154050113,87.19342436696274,63.383269256264086,1630,470275.0,289.57820197044333,61.963190184049076,53.19018404907976,1003,300525.0,299.6261216350947,61.016949152542374,50.04985044865404,14779.0,4622901.0,72.89968030238214,56.054044491617
