WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2000-02-26,Western Africa,Nigeria,Abia,Battles,Armed clash,3,452,,Political violence,2129.0,5.433,7.4937
2000-05-20,Western Africa,Nigeria,Abia,Battles,Armed clash,1,2,,Political violence,2129.0,5.433,7.4937
2005-12-31,Western Africa,Nigeria,Abia,Battles,Armed clash,1,5,,Political violence,2129.0,5.433,7.4937
2008-10-18,Western Africa,Nigeria,Abia,Battles,Armed clash,1,4,,Political violence,2129.0,5.433,7.4937
2008-11-22,Western Africa,Nigeria,Abia,Battles,Armed clash,1,3,,Political violence,2129.0,5.433,7.4937
2009-06-27,Western Africa,Nigeria,Abia,Battles,Armed clash,1,0,,Political violence,2129.0,5.433,7.4937
2009-09-26,Western Africa,Nigeria,Abia,Battles,Armed clash,2,10,,Political violence,2129.0,5.433,7.4937
2010-03-06,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,,Political violence,2129.0,5.433,7.4937
2010-03-27,Western Africa,Nigeria,Abia,Battles,Armed clash,1,2,,Political violence,2129.0,5.433,7.4937
2010-12-11,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,,Political violence,2129.0,5.433,7.4937
2013-12-07,Western Africa,Nigeria,Abia,Battles,Armed clash,1,2,,Political violence,2129.0,5.433,7.4937
2015-06-20,Western Africa,Nigeria,Abia,Battles,Armed clash,1,0,201970.0,Political violence,2129.0,5.433,7.4937
2016-04-30,Western Africa,Nigeria,Abia,Battles,Armed clash,1,3,438198.0,Political violence,2129.0,5.433,7.4937
2016-11-05,Western Africa,Nigeria,Abia,Battles,Armed clash,1,0,124109.0,Political violence,2129.0,5.433,7.4937
2016-12-17,Western Africa,Nigeria,Abia,Battles,Armed clash,1,0,59967.0,Political violence,2129.0,5.433,7.4937
2017-03-11,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,17247.0,Political violence,2129.0,5.433,7.4937
2017-06-10,Western Africa,Nigeria,Abia,Battles,Armed clash,1,3,33220.0,Political violence,2129.0,5.433,7.4937
2017-09-09,Western Africa,Nigeria,Abia,Battles,Armed clash,1,15,336774.0,Political violence,2129.0,5.433,7.4937
2018-04-07,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,21591.0,Political violence,2129.0,5.433,7.4937
2018-04-14,Western Africa,Nigeria,Abia,Battles,Armed clash,1,10,7112.0,Political violence,2129.0,5.433,7.4937
2018-04-21,Western Africa,Nigeria,Abia,Battles,Armed clash,1,3,126202.0,Political violence,2129.0,5.433,7.4937
2018-05-12,Western Africa,Nigeria,Abia,Battles,Armed clash,1,11,7112.0,Political violence,2129.0,5.433,7.4937
2018-06-09,Western Africa,Nigeria,Abia,Battles,Armed clash,1,3,147724.0,Political violence,2129.0,5.433,7.4937
2020-04-04,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,273598.0,Political violence,2129.0,5.433,7.4937
2020-05-16,Western Africa,Nigeria,Abia,Battles,Armed clash,1,0,70190.0,Political violence,2129.0,5.433,7.4937
2020-05-30,Western Africa,Nigeria,Abia,Battles,Armed clash,1,0,40610.0,Political violence,2129.0,5.433,7.4937
2020-06-13,Western Africa,Nigeria,Abia,Battles,Armed clash,1,4,48032.0,Political violence,2129.0,5.433,7.4937
2020-09-05,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,115395.0,Political violence,2129.0,5.433,7.4937
2020-09-19,Western Africa,Nigeria,Abia,Battles,Armed clash,3,6,686109.0,Political violence,2129.0,5.433,7.4937
2020-10-17,Western Africa,Nigeria,Abia,Battles,Armed clash,1,3,455022.0,Political violence,2129.0,5.433,7.4937
2020-11-14,Western Africa,Nigeria,Abia,Battles,Armed clash,1,4,455022.0,Political violence,2129.0,5.433,7.4937
2021-01-23,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,169267.0,Political violence,2129.0,5.433,7.4937
2021-01-30,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,52126.0,Political violence,2129.0,5.433,7.4937
2021-02-20,Western Africa,Nigeria,Abia,Battles,Armed clash,1,6,363283.0,Political violence,2129.0,5.433,7.4937
2021-03-13,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,363283.0,Political violence,2129.0,5.433,7.4937
2021-03-20,Western Africa,Nigeria,Abia,Battles,Armed clash,2,3,462830.0,Political violence,2129.0,5.433,7.4937
2021-03-27,Western Africa,Nigeria,Abia,Battles,Armed clash,1,2,139188.0,Political violence,2129.0,5.433,7.4937
2021-04-17,Western Africa,Nigeria,Abia,Battles,Armed clash,1,0,39729.0,Political violence,2129.0,5.433,7.4937
2021-04-24,Western Africa,Nigeria,Abia,Battles,Armed clash,1,0,28431.0,Political violence,2129.0,5.433,7.4937
2021-05-08,Western Africa,Nigeria,Abia,Battles,Armed clash,4,0,477477.0,Political violence,2129.0,5.433,7.4937
2021-05-15,Western Africa,Nigeria,Abia,Battles,Armed clash,2,2,333179.0,Political violence,2129.0,5.433,7.4937
2021-05-29,Western Africa,Nigeria,Abia,Battles,Armed clash,1,0,65130.0,Political violence,2129.0,5.433,7.4937
2021-06-05,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,294810.0,Political violence,2129.0,5.433,7.4937
2021-06-12,Western Africa,Nigeria,Abia,Battles,Armed clash,1,7,117618.0,Political violence,2129.0,5.433,7.4937
2021-08-14,Western Africa,Nigeria,Abia,Battles,Armed clash,1,0,363283.0,Political violence,2129.0,5.433,7.4937
2021-10-16,Western Africa,Nigeria,Abia,Battles,Armed clash,1,4,139188.0,Political violence,2129.0,5.433,7.4937
2021-10-23,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,117600.0,Political violence,2129.0,5.433,7.4937
2021-12-11,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,294810.0,Political violence,2129.0,5.433,7.4937
2022-01-15,Western Africa,Nigeria,Abia,Battles,Armed clash,1,2,17658.0,Political violence,2129.0,5.433,7.4937
2022-01-22,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,374424.0,Political violence,2129.0,5.433,7.4937
2022-03-12,Western Africa,Nigeria,Abia,Battles,Armed clash,1,3,500786.0,Political violence,2129.0,5.433,7.4937
2022-04-02,Western Africa,Nigeria,Abia,Battles,Armed clash,1,0,552452.0,Political violence,2129.0,5.433,7.4937
2022-04-16,Western Africa,Nigeria,Abia,Battles,Armed clash,1,5,552452.0,Political violence,2129.0,5.433,7.4937
2022-04-23,Western Africa,Nigeria,Abia,Battles,Armed clash,1,5,552452.0,Political violence,2129.0,5.433,7.4937
2022-04-30,Western Africa,Nigeria,Abia,Battles,Armed clash,1,4,268600.0,Political violence,2129.0,5.433,7.4937
2022-07-30,Western Africa,Nigeria,Abia,Battles,Armed clash,1,0,40901.0,Political violence,2129.0,5.433,7.4937
2022-08-06,Western Africa,Nigeria,Abia,Battles,Armed clash,1,0,29611.0,Political violence,2129.0,5.433,7.4937
2022-08-13,Western Africa,Nigeria,Abia,Battles,Armed clash,1,3,49485.0,Political violence,2129.0,5.433,7.4937
