ADMIN1,total_events,total_fatalities,centroid_lat,centroid_lon
Abia,624,1262,5.433,7.4937
Adamawa,837,4093,9.1698,12.295
Akwa Ibom,541,607,4.9976,7.8023
Anambra,1327,1601,6.233799999999999,6.9419
Bauchi,499,913,10.9897,9.3321
Bayelsa,912,1193,4.8248,5.9594000000000005
Benue,1863,6291,7.2973,8.8156
Borno,6900,46991,11.8757,13.434900000000003
Cross River,659,1095,5.7912,8.414
Delta,2004,4377,5.759599999999999,6.3272
Ebonyi,536,883,6.243900000000001,8.0681
Edo,1234,814,6.6545,5.8779
Ekiti,440,130,7.696500000000001,5.3008
Enugu,867,704,6.510700000000001,7.3933
Federal Capital Territory,2243,969,8.985,7.1883
Gombe,216,613,10.4134,11.2091
Gulf of Guinea,1,0,2.2605,3.8859
Imo,1064,1064,5.5546,7.029699999999999
Jigawa,206,184,11.9786,9.6104
Kaduna,2889,11240,10.2621,7.8731
Kano,659,2663,11.5731,8.5258
Katsina,2542,6259,12.2425,7.5064
Kebbi,337,1019,11.679,4.0018
Kogi,861,1007,7.6215,6.853999999999999
Kwara,752,622,9.0859,4.5714
Lagos,2390,1867,6.4906,3.7853000000000003
Nassarawa,676,1964,8.553,8.193
Niger,1428,4818,9.7951,5.7376
Ogun,973,750,7.1168,3.2672
Ondo,901,633,6.8213,4.8633
Osun,852,677,7.5429,4.5348
Oyo,912,491,8.1327,3.6144999999999996
Plateau,1744,9697,9.3647,9.6275
Rivers,1689,1466,5.0357,6.839600000000001
Sokoto,1231,2612,12.7079,5.2106
Taraba,904,3500,8.0538,10.3837
Yobe,816,3427,11.9826,11.5482
Zamfara,2690,10634,12.0829,6.0025
