state,n_children,school_attendance_rate,ever_attended_rate,public_school_rate
Anambra,1049,0.8137051717509549,0.9996559642383773,0.8851121427315208
Borno,3006,0.8226018978242741,0.5792246146156955,0.9919387209542351
Osun,1296,0.8398729093367078,0.9911330457306385,0.9977329170318983
Zamfara,1995,0.8415113080977319,0.46961387624334683,0.9977770143420381
Katsina,2366,0.8490228972485078,0.7412901625840008,0.9960240811325612
Bauchi,2527,0.8491598075967896,0.43476501010097046,0.9904943990446442
Kebbi,2249,0.8527852916919577,0.41874078130130843,0.9968414169038027
Adamawa,2612,0.8612966520098183,0.8013364133801258,0.997197308963202
Jigawa,2627,0.8638761559225222,0.5688375721116609,0.9989754694165793
Plateau,2012,0.8657011896063752,0.923935939894698,0.976285050790736
Gombe,2000,0.8775955421139718,0.5350324036507159,0.9775112664167095
Enugu,1330,0.8784555504366814,0.9936251320043308,0.946439633981444
Nasarawa,2632,0.8784647410510462,0.8360391204851433,0.9944995522873646
Kano,2452,0.8917477300207408,0.7712859057802552,0.9969853308131275
Delta,1406,0.8917949914156953,0.9940374522888356,0.996072970938895
Taraba,2198,0.8982221499507367,0.8017302341970315,0.9786185747304538
Niger,2319,0.9025550339578149,0.6611361791869032,0.999620308999484
Federal Capital Territory,1292,0.9090806730139244,0.9689547486076548,0.9987484326035286
Kwara,2405,0.909084551663049,0.8534600279012123,0.9930844804994265
Yobe,3346,0.9166104450731009,0.46233438704073504,0.9976748474056638
Ogun,1416,0.919217808337648,0.946674830698028,0.9879616434430789
Sokoto,1847,0.9247578527840926,0.514544289189294,0.9790473686922034
Edo,1157,0.9261987131070096,0.984332318729016,1.0
Rivers,1212,0.9283215946375604,0.9936538735986153,0.9825119303310326
Kaduna,2208,0.928417830285714,0.8640252585191373,0.992177245484886
Akwa Ibom,1697,0.9304592288585865,0.9912141217141872,0.9897733188468167
Oyo,1471,0.9325902423863335,0.9551963845387059,0.986802433913339
Cross River,975,0.9345531230166411,0.9938674293658456,0.9417484401790294
Ondo,1566,0.9356257881946964,0.9813183244743588,0.9909486227588311
Bayelsa,1398,0.9384649569806437,0.9904339939883586,0.9889501394070365
Lagos,1610,0.9393187753601113,0.9932095351459183,0.9798577488461413
Benue,1674,0.9393941917972828,0.9335234217427696,0.920595651110322
Abia,1144,0.9404965281537163,0.9943633902996247,0.9530865982151314
Kogi,1893,0.9479526352307768,0.9726391764150228,0.9780783867830003
Ekiti,805,0.9637093734472302,0.9970843997553263,0.988608403190977
Ebonyi,1465,0.9665172120329096,0.9931218843392308,0.9211748384402972
Imo,1065,0.9726995343874983,0.9989998494579888,0.9344676468176656
