state,urban_rural,n_children,school_attendance_rate,ever_attended_rate,public_school_rate
Abia,rural,820,0.9361531502377126,0.9937461576973445,0.9560627090480477
Abia,urban,324,0.9611708238122982,0.997311933632006,0.9362545551635957
Adamawa,rural,2030,0.8731396732042436,0.7559473343590913,0.997920643343186
Adamawa,urban,582,0.833842399514728,0.9309518852965497,0.9950211859856404
Akwa Ibom,rural,1352,0.9317433202939313,0.9913205799645586,0.9900462188904886
Akwa Ibom,urban,345,0.9012804401071265,0.9888011874429495,0.9811190304318526
Anambra,rural,863,0.9193476457728388,0.9975481685606197,0.9261786454966374
Anambra,urban,186,0.7965044164329386,1.0,0.8732100062883811
Bauchi,rural,1841,0.8181207990951239,0.3615731808271962,0.987077859000497
Bauchi,urban,686,0.9264908322534658,0.8771208216468351,0.9986931553000348
Bayelsa,rural,1368,0.9559135532661127,0.9861547115962873,0.9864066995415534
Bayelsa,urban,30,0.9000000000000001,1.0,1.0
Benue,rural,1517,0.9349122358488897,0.9249675441457511,0.92820366567433
Benue,urban,157,0.97160474413514,1.0,0.8660016060403787
Borno,rural,1178,0.7902923566421044,0.5315833270739737,0.9957123745784765
Borno,urban,1828,0.8742476952931281,0.6760775664845561,0.9862457421701257
Cross River,rural,843,0.9345709927410837,0.9933910300332434,0.9552052503111389
Cross River,urban,132,0.9344301496787227,0.9971582795820187,0.8364253986927642
Delta,rural,829,0.881889598727735,0.9903627466579035,1.0
Delta,urban,577,0.9013695600047624,0.9976154407770638,0.9904827305372568
Ebonyi,rural,1376,0.9315697743450887,0.9592379188921006,0.9857569275069896
Ebonyi,urban,89,0.9733220364189565,1.0,0.9056768839138047
Edo,rural,746,0.9049714901795618,0.9787154768318164,1.0
Edo,urban,411,0.9408827452042061,0.9882556700793429,1.0
Ekiti,rural,294,0.9769201560562369,0.997001027078448,0.9974854753069706
Ekiti,urban,511,0.9602968188969686,0.9971059385055127,0.986107382598581
Enugu,rural,1012,0.8931043469122584,0.9962454342681439,0.9735969623283114
Enugu,urban,318,0.8728199298837662,0.9926207285738254,0.9313924303018771
Federal Capital Territory,rural,411,0.8479264040691843,0.9747117505067384,1.0
Federal Capital Territory,urban,881,0.9353364477243835,0.9665038698557425,0.998137337342883
Gombe,rural,1421,0.8843478262351923,0.4185293853259774,0.9653141171851152
Gombe,urban,579,0.867554192772624,0.912953666269933,0.9963424393275716
Imo,rural,967,0.9651845617833523,0.9978083380250173,0.8957754188283981
Imo,urban,98,0.9789937510912049,1.0,0.9751844072657967
Jigawa,rural,2295,0.8538500875066176,0.5179634004092403,0.9987429683883218
Jigawa,urban,332,0.9062485264825301,0.9725344174120291,1.0
Kaduna,rural,1685,0.9074636590078089,0.796603002514984,0.9950508374613838
Kaduna,urban,523,0.9494616745074985,0.9441707213565514,0.9884008325963605
Kano,rural,1711,0.8250512984037545,0.6610963982090915,0.9974219912984111
Kano,urban,741,0.9467214930553062,0.8941217050082074,0.9965841302106729
Katsina,rural,1486,0.8512482415363454,0.71375353938242,0.996232250219846
Katsina,urban,880,0.8416923606554269,0.849214207305511,0.9952547999997302
Kebbi,rural,1717,0.8138543283215872,0.30997123721706477,0.9966139973105808
Kebbi,urban,532,0.9126550306123627,0.9126085735849169,0.9971921254349846
Kogi,rural,1430,0.9435596384373574,0.9624211493885944,0.978742595355998
Kogi,urban,463,0.9556536326551087,0.9911063280552499,0.9766670813280861
Kwara,rural,1542,0.8828415964323781,0.5744616978138708,0.9945003157627743
Kwara,urban,863,0.916163678164077,0.9821297375736947,0.9925402642557446
Lagos,rural,115,0.9373755694188401,0.9479552569304345,1.0
Lagos,urban,1495,0.9393726661850668,0.994526226687694,0.9788687847522209
Nasarawa,rural,1847,0.8774324568685593,0.8103395130563789,0.9952340901349258
Nasarawa,urban,785,0.881674450388334,0.9275010399278262,0.9916841709179397
Niger,rural,1914,0.8990862630776734,0.568483957865015,0.9994500320088119
Niger,urban,405,0.9090859044181792,0.9538207640552626,1.0
Ogun,rural,590,0.8891973107968197,0.8957833799623356,0.9798945209745917
Ogun,urban,826,0.9441585718562835,0.9935704591469054,0.9974726908894938
Ondo,rural,822,0.923096681719616,0.9727693466889973,0.9908987611948167
Ondo,urban,744,0.9492065345416322,0.9907562088420577,0.9910071044341774
Osun,rural,494,0.880105896755069,0.9950613973946929,0.9916783067668433
Osun,urban,802,0.8282467149852164,0.9900036332934986,1.0
Oyo,rural,488,0.8960991396346955,0.8503968166371632,1.0
Oyo,urban,983,0.9443351523348341,0.9945981318678506,0.9813752083978498
Plateau,rural,1527,0.8579240959373458,0.9027268251343689,0.9881520623279488
Plateau,urban,485,0.8835091692327273,0.976467628948572,0.9308354903452583
Rivers,rural,794,0.9373265036286069,0.9931113591292317,0.974226157119649
Rivers,urban,418,0.9200870689092947,0.9941504942463376,0.9921656445457501
Sokoto,rural,1395,0.9331729182587529,0.46167936800248255,0.9734597515434887
Sokoto,urban,452,0.9055144652572211,0.6970719885961759,0.9931335343753466
Taraba,rural,1805,0.8956161067844197,0.7741271700404216,0.9886396329435313
Taraba,urban,393,0.9082562117074425,0.9293164558747291,0.9235646280395439
Yobe,rural,2068,0.9139734571339149,0.46148956916904293,0.9974484673368342
Yobe,urban,1278,0.9261639895169305,0.46542115302574805,0.9985378984801002
Zamfara,rural,1561,0.825535709245626,0.37168850040024853,0.9979924201849715
Zamfara,urban,434,0.8692319937947486,0.8624812900970122,0.9973791170384213
