state,n,anc_rate,anc_4plus_rate,skilled_delivery_rate,facility_delivery_rate,vacc_card_rate,diarrhea_care_rate
Abia,920,0.9256472289525683,0.17701195691948582,0.1881522669554596,0.1974008346847174,0.834449628542781,0.9744310507654134
Adamawa,1574,0.9006304010617944,0.16421347862740482,0.15667772818983272,0.14033599816366923,0.9262497834982082,0.741964700468387
Akwa Ibom,1046,0.9229613354092171,0.16631565608500462,0.07444265749456327,0.10026319851139377,0.8238416681108042,0.8224787415712524
Anambra,839,0.9632285408312901,0.1453619526781615,0.14884194289909078,0.14084418908617666,0.8431342794001303,0.7282163096830008
Bauchi,1473,0.6871012673939099,0.15131089719379312,0.0609027683446922,0.07389255973244906,0.9800762320075962,0.6849955662482101
Bayelsa,848,0.6768831091141168,0.10677826931561811,0.07057054538658968,0.08104606414431585,0.9682752999341356,0.6960420989873563
Benue,1077,0.7196648931393423,0.11760288880577861,0.1472109790606321,0.14005523630138325,0.890935107290989,0.6646647955132031
Borno,1371,0.6899496574943154,0.1403172250057307,0.10480212743625719,0.09903983089338898,0.9506424312924283,0.6972671630091231
Cross River,768,0.9404150956238506,0.1448271609608515,0.09978754613472467,0.10534656623717858,0.806167249063678,0.7244802544460046
Delta,801,0.861663972188972,0.16335537679351447,0.15778683018793763,0.13709977426677253,0.9001950119458886,0.8064016302486591
Ebonyi,1074,0.9420354954846617,0.15476613483869903,0.17816180963967007,0.1777746485103168,0.9958787332969394,0.9758055017234242
Edo,907,0.9403035807442456,0.15418535999034935,0.15903921027068077,0.1533097718750748,0.8585691684100432,0.7478795126490181
Ekiti,608,0.9081149158948032,0.16303260642883322,0.16450627301510878,0.16463791745600148,0.8907756910987481,0.527602520865819
Enugu,992,0.9629193324392439,0.15971474575829223,0.169439537904754,0.16540671262059073,0.893665936126018,0.8969603044485275
Federal Capital Territory,1256,0.9412029724086559,0.1617596240088865,0.14682389795437994,0.17220981164804283,0.8617490401638491,0.6443103359785104
Gombe,1295,0.7020891928587203,0.10961208779645386,0.11263058988453233,0.1122706303884503,0.9663481314316833,0.6560986195038798
Imo,770,0.9924142279804393,0.20060833662223793,0.2011478571070603,0.19525796004002877,0.9662870503153099,0.8677535411961527
Jigawa,1310,0.7953169885112119,0.17530352859271686,0.08535146580279883,0.06995981763361402,0.9850094545170072,0.6641859855279617
Kaduna,1163,0.8738551751847926,0.23398553911692824,0.1382912450581774,0.10143582999727396,0.9547433994691884,0.5978955176855457
Kano,1485,0.8302726129617066,0.15847339432539614,0.0880111367292272,0.08436684621489786,0.8833756021711053,0.6099643528322694
Katsina,1311,0.6314290571194876,0.15875874198760284,0.05507514176490857,0.04739992412560498,0.7362104697091855,0.4273190537464289
Kebbi,1383,0.49691221375457134,0.13700950873060141,0.0866702691641093,0.07848688008937015,0.6009568700352652,0.5860917711719397
Kogi,1014,0.9270182528428129,0.1178245123245732,0.11664268065324512,0.13207138859756076,0.9262640305891865,0.6707081013779794
Kwara,1050,0.8568702217262925,0.15390021045812094,0.15694907063853045,0.15123266604510027,0.7583273620510339,0.7127159989965001
Lagos,905,0.9744235590357849,0.19430765168607145,0.18760503261066727,0.17849173510623714,0.8816351650808651,0.7476292133558591
Nasarawa,1473,0.7650637244224182,0.11059921214727723,0.13356436130137003,0.1285574520172741,0.8349471781293396,0.6617498278238051
Niger,1452,0.8195362642069761,0.14919661155826225,0.10225115876123303,0.10229096423519664,0.9357691027446415,0.7794631553366312
Ogun,866,0.8117483856088862,0.19449710548928953,0.18249975566119478,0.1824501988136618,0.969875528101446,0.4600647898170344
Ondo,892,0.8413369393934947,0.13334525257967317,0.11684036051460055,0.13858222074389356,0.9352116442339506,0.8793187864788357
Osun,707,0.9719229514158825,0.1825875898173161,0.15338582046807456,0.1738257898254391,0.9092391517253893,0.7197973336700526
Oyo,775,0.896507224133647,0.16491989556616074,0.16955280926146044,0.1547584871113793,0.9353374785007819,0.4767816415993076
Plateau,1246,0.8456765091358818,0.1886297980850821,0.17755352048023365,0.16310362386373933,0.9414225612743122,0.7913948799037526
Rivers,637,0.8033792990795685,0.1310952854742561,0.13557084736030825,0.12412013964640237,0.9436671965387665,0.8854532937175
Sokoto,1135,0.4124129848752228,0.07685033996030183,0.04062033925950666,0.03978262893233151,0.8478298783076796,0.5493481590014605
Taraba,1245,0.5812399883431447,0.1076264435221839,0.09237016360154295,0.06577990347920235,0.9242344718098755,0.8011665730700324
Yobe,1318,0.765010117981701,0.17671941682067996,0.14955721836913105,0.15028081377953864,0.922899490126562,0.7228758845175032
Zamfara,1155,0.3418319268587643,0.052342495344839285,0.05583408528599214,0.03766180301696217,0.9763286310133372,0.8314935187363446
