state,urban_rural,n,anc_rate,anc_4plus_rate,skilled_delivery_rate,facility_delivery_rate,vacc_card_rate,diarrhea_care_rate
Abia,rural,594,0.9141854832863063,0.18386715537237747,0.19162528689417754,0.20380112288097607,0.8700830684455914,0.9797904233071577
Abia,urban,326,0.970363409937933,0.15554669200011267,0.17727741138896627,0.17736000251375708,0.7168109757712795,0.9617572233688234
Adamawa,rural,1224,0.8740020936477064,0.16334312393964723,0.15043289914486982,0.13252404586605848,0.9209144297678361,0.737606725218019
Adamawa,urban,350,0.9791465506519916,0.16657003444415172,0.17358610866677715,0.16148749178578595,0.9422539420902263,0.7505587284068853
Akwa Ibom,rural,851,0.9236266554088995,0.16617269037000318,0.07282397721198867,0.09809481174639072,0.8253981062211455,0.8195872678390504
Akwa Ibom,urban,195,0.9095738239759605,0.16901725008324395,0.10503052911418027,0.14123876156952592,0.7934961245212007,1.0
Anambra,rural,667,0.9335887262970968,0.21925145127074727,0.22169995702882003,0.2123459014854813,0.9303981377136854,0.6443772904905252
Anambra,urban,172,0.9707194944807664,0.13442618931878447,0.13805884088144063,0.13026182188267946,0.8268936362531016,0.7411758369324973
Bauchi,rural,1061,0.666655590947791,0.15012173049470257,0.045505944457998646,0.0598761825976067,0.9821304290957653,0.6807254446929456
Bauchi,urban,412,0.8789444669646438,0.15820188857434864,0.1501243894784479,0.15511475851810388,0.9692496898172885,0.7344450641233234
Bayelsa,rural,826,0.6493926710806682,0.12519880703294925,0.07508284909763469,0.08958225973283092,0.9665213683726314,0.6960420989873563
Bayelsa,urban,22,1.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,
Benue,rural,1018,0.6994555184917419,0.11803625313977527,0.1468996856193659,0.14107528071949255,0.904300627509185,0.6466993962538585
Benue,urban,59,1.0,0.11414671523530322,0.14969361106323434,0.13192016314926877,0.75160148520718,1.0
Borno,rural,554,0.6313093323393048,0.1351554922033102,0.09535261983053667,0.0887666371923459,0.9294241420716184,0.7175369367562815
Borno,urban,817,0.8416489495850333,0.1499556000612816,0.12244695755057561,0.11822270953107107,0.9886253064313927,0.639970230963073
Cross River,rural,628,0.9426870097622209,0.15389639572262806,0.10210422440540769,0.10869385841309004,0.8446196291038404,0.7761062661671181
Cross River,urban,140,0.9175604577358741,0.09590868809839156,0.08729163373502648,0.08729163373502648,0.5577315103561412,0.1133318323460921
Delta,rural,403,0.7813835113055988,0.192641452875109,0.20190990950421372,0.16174497986526432,0.9163931172775716,0.7847985112203105
Delta,urban,398,0.9769558725267743,0.14167666572099724,0.12512518287601032,0.11885641896017798,0.885470462937235,0.8578542241196064
Ebonyi,rural,982,0.9513244753243316,0.17223143714207462,0.16182074488579087,0.158337179405289,0.9654641077807409,0.724777028225926
Ebonyi,urban,92,0.9406300286976961,0.15258234829229314,0.1802050263411968,0.1802050263411968,1.0,1.0
Edo,rural,538,0.9034059569608444,0.18471837052289294,0.18364150344034466,0.17654562798902246,0.9063150363615279,0.5632659692503709
Edo,urban,369,0.9732563718902653,0.13620748149811196,0.14455334629853173,0.13962846791605563,0.8170938861780431,0.8362817445355685
Ekiti,rural,224,0.8773026827910858,0.13291499447645383,0.155075922766921,0.1489282727742985,0.9009453492396858,1.0
Ekiti,urban,384,0.9145595263272978,0.17082784199418372,0.16694709739934674,0.16870398953155177,0.8887649933877032,0.5139636284678764
Enugu,rural,749,0.9838154130041586,0.17289806134832575,0.1701183341395836,0.16200693303882593,0.9044330083651969,0.647292243262813
Enugu,urban,243,0.9556019123444418,0.15498172473088515,0.16919583920613515,0.16662728783470504,0.8903163419057815,1.0
Federal Capital Territory,rural,361,0.9282707056830055,0.1409927745879314,0.1091072784993039,0.13719680359578224,0.9212552926436198,0.7120909161908368
Federal Capital Territory,urban,895,0.9456802924984539,0.17046187480317113,0.16262887033885123,0.1868818483617885,0.8435105752556771,0.6030308722353065
Gombe,rural,902,0.6587615228171282,0.09927214129982913,0.09770623082093881,0.09568340524044235,0.9599978436609037,0.6568441686295385
Gombe,urban,393,0.8730591416661415,0.1394628907107399,0.1557163158285489,0.1601569505884342,0.9832063020697893,0.6529422312833651
Imo,rural,692,0.982439277340609,0.19347790894871653,0.20375542158505525,0.19966334750225473,0.9506668040156783,0.7990216858143333
Imo,urban,78,1.0,0.20590005155324076,0.19921270138940267,0.1919885832679618,0.9792074501427738,1.0
Jigawa,rural,1122,0.7815466812695939,0.18178834555997073,0.07698118329178345,0.06010541160779462,0.9897209300442439,0.6567485122198128
Jigawa,urban,188,0.9123162468103612,0.1294981253068664,0.14447482548582782,0.1395662605655446,0.9387852950558411,0.7551852097080213
Kaduna,rural,841,0.8514949164625621,0.22961865188860098,0.102682357600825,0.07217916411433568,0.9821960612845183,0.7398059815777329
Kaduna,urban,322,0.9039765603831155,0.2386470303633244,0.17630242063871526,0.132666243053829,0.9228555827274966,0.4576179104230301
Kano,rural,1027,0.7650642001509059,0.17750007291496842,0.08089820441491666,0.0832818302929248,0.8660229097875541,0.6286020411144968
Kano,urban,458,0.9754702952640024,0.13838357643820762,0.09552151297096982,0.08551248874911743,0.9091993121507564,0.5749049677249509
Katsina,rural,811,0.6269981471232088,0.16314709302095592,0.04574390773544141,0.03762078019359604,0.7510116377148351,0.43104553258248945
Katsina,urban,500,0.6524827609157773,0.14158835749049145,0.09158563850975508,0.08566296645950157,0.6840348930758767,0.4109494956433318
Kebbi,rural,1046,0.4483438713172709,0.13161492199727198,0.07719493430218073,0.06889305274082867,0.6240820153196299,0.578763807021318
Kebbi,urban,337,0.9712771871109693,0.16141801915832388,0.1295426560987067,0.12189540171566296,0.4445684441935992,0.6417987081173319
Kogi,rural,713,0.9518275812772078,0.1014297962259725,0.0876455216095599,0.11910696367257251,0.9227958138379501,0.6648840236844908
Kogi,urban,301,0.8921837003007037,0.14566282060227653,0.165879998809953,0.15408504565233397,0.9311034093565282,0.7020737126370326
Kwara,rural,629,0.5960761270927788,0.10772066502623802,0.10549738501108728,0.10146867363228397,0.7508716246310685,0.8248005279850593
Kwara,urban,421,0.9669382140697348,0.17425371254442215,0.17962625338184227,0.17316600284875003,0.7604297796683683,0.6772548353006944
Lagos,rural,94,1.0,0.13834814368898543,0.11591389324816881,0.0832668402438511,1.0,
Lagos,urban,811,0.9738627846782084,0.1960207152395414,0.18979968160499056,0.18140681250077484,0.8793674308849501,0.7476292133558591
Nasarawa,rural,1082,0.711227473120397,0.08607553190824774,0.11021383892002337,0.11195628519929499,0.8592859150079584,0.6502856290113275
Nasarawa,urban,391,0.903084671066734,0.18949759031045166,0.20868841801693197,0.18196726346434633,0.7882742443727903,0.7114077638780505
Niger,rural,1142,0.7755075160973266,0.11686729002904273,0.06041453184184236,0.06507688277097988,0.9545320935823856,0.8119235112647284
Niger,urban,310,0.9236810713579745,0.23226875426580373,0.20975289642401213,0.19791479238548448,0.8948578637598623,0.6662383591492261
Ogun,rural,327,0.7534600781620172,0.23275144487818586,0.20603068957323165,0.20246569783352958,0.9569172680781409,0.41402732699792294
Ogun,urban,539,0.8985764078122987,0.16037631696166943,0.16151144341489668,0.16459746314389018,0.977413146732238,0.5717592409317883
Ondo,rural,413,0.7441343768241558,0.12573744201328926,0.10598328380847039,0.12658914090143603,0.9408994219087041,0.8366682387908726
Ondo,urban,479,0.9638699186244704,0.1409901318072213,0.12775033776210756,0.15063373624390555,0.9297973159062558,0.8919302145676866
Osun,rural,234,0.9529449467654889,0.19777330532913376,0.15117094023393385,0.19879613661248488,0.8407867025568196,0.9252621529637556
Osun,urban,473,0.9773464105842495,0.17855639776315405,0.15397378141030607,0.16719717469832995,0.9272145194675586,0.6566610733636996
Oyo,rural,209,0.7550171024977809,0.1702798991946484,0.17808075262674436,0.15863550947263813,0.9527120011579923,0.18482566205710818
Oyo,urban,566,0.9661542072305221,0.1632451354158342,0.16688821037266288,0.15354709193282917,0.9302248187875424,0.5786604080661993
Plateau,rural,930,0.8247662716145205,0.1892367696686327,0.17977898356516386,0.1758856836867093,0.9279381436930659,0.8024773898934613
Plateau,urban,316,0.912117604247468,0.18716667287894137,0.1721889676360141,0.13229204318975568,0.9726559881652068,0.7361035828468283
Rivers,rural,440,0.8169060523760211,0.13520795704739244,0.1424447348155412,0.12583966099513666,0.9307805374128866,0.8796986221109329
Rivers,urban,197,0.789373240700192,0.12782826686942655,0.1301103777350556,0.12275418855164166,0.9532506272517469,0.8972516946603181
Sokoto,rural,839,0.3689796591830992,0.07213928248100905,0.03164552939661692,0.02823802081288663,0.8303196837311947,0.5010316909936238
Sokoto,urban,296,0.7211906332002693,0.09355387525188968,0.07244144395606296,0.08071521572378981,0.8926611894355163,0.8288991564977324
Taraba,rural,1105,0.5395302008525457,0.10354920792605743,0.08237451227390169,0.05614221326043564,0.9403906167323598,0.7900387278319694
Taraba,urban,140,0.9325695670183393,0.1303238221098986,0.14801450326879373,0.11943152562590491,0.8465741056439879,0.9118876718090217
Yobe,rural,978,0.7411101601720744,0.17871557116899686,0.1387649498998023,0.134965614263748,0.9179672551387729,0.7144961750282366
Yobe,urban,340,0.8742459969053434,0.16875099189289464,0.19263874719522825,0.21141737754202247,0.9401205236072862,0.8412042135712867
Zamfara,rural,903,0.2743285017959293,0.040852194181371024,0.0442440015126871,0.025626975385218763,0.9705168693298408,0.8164425088954339
Zamfara,urban,252,0.6908533212436905,0.1019110411288406,0.10583308792171343,0.08957940691434975,1.0,0.889799325549801
