X,Y,FID,globalid,uniq_id,timestamp,editor,latitude,longitude,wardname,wardcode,lganame,lgacode,statename,statecode,updated_on,accessblty,func_stats,category,ownership,type,source,alt_name,prmry_name
13.1483199997682,11.8223200003678,1,af719462-abfd-4f47-9dc3-0987164e75ac,1,2020/07/04 00:00:00+00,tosin.williams,11.8223199999,13.1483199999,Maisandari,12413,Maiduguri,124,Borno,BR,2019/03/01 00:00:00+00, ,Unknown,Primary Health Center,Private,Primary,eHA Polio,Nursing Home,G R A Nursing Home
13.147176107991,11.8216145793494,2,a29b0328-d844-4358-b0ab-2e120b8fb30f,2,2020/07/04 00:00:00+00,mokobia.chidinma,11.8216145787,13.1471761076,Maisandari,12413,Maiduguri,124,Borno,BR,2019/03/01 00:00:00+00,Unknown,Functional,Primary Health Center,National Primary Healthcare Development Agency,Primary,Measles Campaign,Nursing Home,Gishili Health Center
12.8162841795713,10.7070922895775,3,b685b769-5c83-4f83-a182-00e7e1b777d8,3,2020/07/04 00:00:00+00,mokobia.chidinma,10.70709229,12.81628418,Ngohi,10207,Askira Uba,102,Borno,BR,2019/03/01 00:00:00+00, ,Partially Functional,Primary Health Center,State Primary Healthcare Development Agency,Primary,eHA Polio, ,Lehobi Primary Health Care
12.1816283299835,10.615220000003,4,78e64f7a-cbb8-4357-9e64-a7e502534527,4,2020/07/04 00:00:00+00,tosin.williams,10.61522,12.18162833,Galdimari,10503,Biu,105,Borno,BR,2019/03/01 00:00:00+00,Unknown,Not Functional,Primary Health Center,Others,Primary,eHA Polio,Mandara Girau Dispensary,Dugja Idp Camp
13.3133583296233,10.7595266697201,5,409c97ce-7490-4dc2-a8f8-2b8d53ad2b12,5,2020/07/04 00:00:00+00,tosin.williams,10.75952667,13.31335833,Ngurthavu Kopa,10209,Askira Uba,102,Borno,BR,2019/03/01 00:00:00+00,Unknown,Partially Functional,Dispensary,Others,Primary,eHA Polio, ,Kopa Maikudiri Dispensary
13.1422729502365,11.7980956998567,6,6afd9e7a-b985-4cd5-b0cf-f9488500a3a0,6,2020/07/04 00:00:00+00,tosin.williams,11.7980957,13.14227295,Maisandari,12413,Maiduguri,124,Borno,BR,2019/03/01 00:00:00+00, ,Functional,Medical Center,Private,Primary,eHA Polio,Atla Medical Center,Ghumtukum Medical Center
13.7863100004062,11.2253999997102,7,50e5c971-d348-4c81-ba29-f806eefe9920,7,2020/07/04 00:00:00+00,tosin.williams,11.2254,13.78631,Pulka Bokko,11112,Gwoza,111,Borno,BR,2019/03/01 00:00:00+00,Unknown,Functional,Dispensary,Others,Primary,OSGOF, ,Ghung Dispensary
12.0502189996072,10.5865740000901,8,f92b67cf-d74c-4e37-8f8b-aa4e4b18f82d,8,2020/07/04 00:00:00+00,tosin.williams,10.5865740003,12.0502189998,Grim Damchoba,11202,Hawul,112,Borno,BR,2019/03/01 00:00:00+00, ,Partially Functional,Dispensary,National Primary Healthcare Development Agency,Primary,eHA Polio, ,Grem Demch Dispensary
12.8071629999725,11.0515209995945,9,9c2b58dd-1e99-49b9-970e-eabce1c7dd10,9,2020/07/04 00:00:00+00,tosin.williams,11.0515210002,12.8071630001,Gumsuri,10710,Damboa,107,Borno,BR,2019/03/01 00:00:00+00,Unknown,Not Functional,Federal Medical Center,National Primary Healthcare Development Agency,Secondary,eHA Polio, ,Gumsuri Federal Medical Center
13.2138180003005,10.4589970002114,10,5a3864b5-d66b-4683-90cd-9c76af393450,10,2020/07/04 00:00:00+00,tosin.williams,10.4589969996,13.2138180004,Uba,10211,Askira Uba,102,Borno,BR,2019/03/01 00:00:00+00, ,Functional,Dispensary,National Primary Healthcare Development Agency,Primary,eHA Polio, ,Uba Bobo Health Post
