lat,lon,amenity
10.573804,7.405322,hospital
10.094597,12.055679,hospital
12.224393,14.279565,hospital
10.553373,13.098342,hospital
9.010886,7.575098,pharmacy
10.507737,7.43352,pharmacy
7.561169,6.604363,pharmacy
6.372975,5.635722,pharmacy
6.366735,5.626269,pharmacy
6.36748,5.627053,pharmacy
6.368909,5.587573,pharmacy
6.362872,5.589701,pharmacy
6.364194,5.580758,pharmacy
6.363867,5.587853,pharmacy
6.377543,5.635186,hospital
6.362121,5.623041,pharmacy
6.365761,5.584005,pharmacy
6.36745,5.582942,pharmacy
6.304945,5.626766,pharmacy
6.328184,5.62254,doctors
6.304387,5.625654,pharmacy
6.319108,5.627442,pharmacy
6.325816,5.625476,pharmacy
6.321158,5.627236,pharmacy
6.330998,5.629824,clinic
6.331202,5.626527,clinic
6.320569,5.62731,pharmacy
6.329495,5.62688,pharmacy
6.334974,5.633706,pharmacy
6.317952,5.627549,pharmacy
6.331467,5.626748,clinic
6.329308,5.619105,pharmacy
6.324509,5.626319,pharmacy
6.326262,5.625301,pharmacy
6.32675,5.630367,pharmacy
6.307114,5.601486,doctors
6.311779,5.598339,pharmacy
6.320862,5.627273,pharmacy
6.335845,5.630784,clinic
6.331029,5.62526,pharmacy
6.330721,5.596224,pharmacy
6.33432,5.604426,hospital
6.325744,5.577876,pharmacy
6.327843,5.624282,pharmacy
6.336216,5.609687,pharmacy
6.329375,5.620571,pharmacy
6.328818,5.584778,hospital
6.342348,5.609924,pharmacy
6.342839,5.608797,pharmacy
6.352991,5.616868,pharmacy
6.33977,5.618777,pharmacy
6.349021,5.61923,pharmacy
6.464027,7.495643,clinic
6.482312,7.492041,clinic
6.479913,7.519431,clinic
6.458544,7.49453,pharmacy
6.473831,7.500836,clinic
6.483449,7.516615,clinic
6.482701,7.50855,clinic
6.460941,7.479773,clinic
6.476539,7.50139,doctors
6.479049,7.516834,pharmacy
6.45038,7.493085,clinic
6.450652,7.485499,pharmacy
6.407998,7.531527,clinic
6.413427,7.544272,clinic
6.418407,7.494977,clinic
6.424451,7.479645,clinic
6.425602,7.494653,clinic
6.430425,7.496329,clinic
6.436359,7.500098,clinic
6.437193,7.504572,clinic
6.438333,7.502103,clinic
6.44096,7.495275,clinic
6.447611,7.501111,clinic
6.440262,7.510796,clinic
6.459315,7.497971,clinic
9.890242,8.878389,pharmacy
7.441454,3.907835,pharmacy
11.816667,7.9,hospital
10.51355,7.452553,hospital
13.585816,6.143737,health_post
11.450745,7.727666,hospital
