lat,lon,amenity
11.150732,7.654684,college
12.016059,8.506542,university
10.327314,13.170123,school
9.1,12.533333,school
10.444321,7.42363,school
10.620374,7.469802,college
10.613809,7.468483,college
6.36083,5.581611,school
9.077921,7.402321,school
7.405403,3.936274,school
7.405446,3.946241,school
6.331469,5.602005,school
6.332328,5.646953,college
6.463999,3.387442,school
6.496842,3.373224,school
6.487328,3.375429,school
6.489656,3.377225,school
6.489265,3.376301,school
6.494735,3.373668,school
5.897276,7.115268,college
6.162479,6.919051,school
6.366895,5.571954,school
7.561909,6.604372,kindergarten
7.552791,6.629909,school
7.554026,6.64498,school
7.55536,6.634774,school
7.543522,6.683548,school
7.56454,6.601635,school
7.557084,6.600841,school
7.54962,6.600162,school
10.476237,7.421158,school
10.480374,7.419441,school
6.534435,3.39441,school
6.37139,5.635697,school
6.365373,5.624668,school
6.366627,5.629554,school
6.369736,5.628702,school
6.367513,5.635442,school
6.382418,5.629915,college
6.365575,5.58701,school
6.371252,5.586712,school
6.356131,5.572296,school
6.362561,5.582934,school
6.361854,5.575063,school
6.365404,5.568687,school
6.36408,5.581479,school
6.362815,5.578038,school
6.363398,5.588697,school
6.361707,5.576699,school
6.366769,5.5784,school
6.359844,5.626251,school
6.363162,5.631597,school
6.361225,5.63183,school
6.3827,5.633447,school
6.36654,5.585962,school
6.360944,5.581691,school
6.362636,5.583084,school
6.365905,5.583477,school
6.365614,5.586415,school
6.36024,5.584804,school
6.317907,5.623212,school
6.312518,5.620225,school
6.313208,5.625998,kindergarten
6.308887,5.618255,school
6.312345,5.623325,school
6.308847,5.622323,school
6.310765,5.626998,school
6.311079,5.627563,school
6.304569,5.625294,school
6.307145,5.622664,college
6.306267,5.62634,school
6.311777,5.627816,school
7.448418,6.059938,school
7.435738,6.07139,school
7.424097,6.073612,school
6.308144,5.609752,school
6.30207,5.591959,school
6.30602,5.600574,school
6.321686,5.632246,school
6.328231,5.612881,school
6.311224,5.603497,kindergarten
6.305052,5.603963,school
6.295617,5.600429,school
6.307666,5.597479,school
6.310092,5.615317,school
6.310194,5.614926,school
6.328377,5.6167,school
6.33263,5.630474,school
6.326564,5.632584,school
6.301557,5.604831,school
6.310184,5.617772,school
6.323513,5.631012,school
6.288637,5.596605,school
6.288777,5.596665,kindergarten
6.297652,5.586342,school
6.307346,5.612333,school
6.313098,5.615631,school
6.322462,5.627769,college
6.33012,5.616384,school
6.303032,5.619727,school
6.322755,5.613029,school
6.304589,5.618809,kindergarten
6.327669,5.634085,school
6.329603,5.633653,school
6.319991,5.632357,school
6.327763,5.630385,school
8.282392,4.783344,school
8.277577,4.790758,school
8.27178,4.798947,school
8.275467,4.793081,school
8.327702,4.815579,school
8.298061,4.804004,school
8.320733,4.830122,school
6.329559,5.632016,school
6.330585,5.625821,school
6.301399,5.605015,school
6.294637,5.595481,school
6.299001,5.607627,school
6.336164,5.63212,school
6.331398,5.626379,college
6.333199,5.631593,school
6.325865,5.615324,kindergarten
6.296694,5.601179,college
6.323529,5.629839,school
6.332929,5.629848,school
6.307295,5.611681,school
6.312948,5.607564,school
6.321911,5.617372,school
6.308145,5.606479,kindergarten
6.33284,5.631078,school
6.310389,5.597788,school
6.314507,5.601133,school
11.981857,8.571814,school
6.59673,3.340141,school
10.260582,11.17116,school
6.341814,5.602508,school
6.342365,5.600526,school
6.341201,5.602443,school
6.32899,5.593622,school
6.325886,5.591752,school
6.325629,5.593737,school
6.340536,5.611326,school
6.343541,5.611569,school
