subregion,haz_moderate_prev,haz_severe_prev,haz_n
Abia,22.26,6.79,249
Adamawa,37.23,14.23,285
Akwa Ibom,19.72,4.0,240
Anambra,14.45,3.8,418
Bauchi,56.35,30.44,415
Bayelsa,26.62,6.42,246
Benue,19.91,5.75,342
Borno,45.36,24.25,332
Cross River,23.19,5.47,156
Delta,22.79,7.97,187
Ebonyi,23.25,7.88,430
Edo,15.32,3.68,147
Ekiti,19.77,5.94,247
Enugu,15.79,4.79,234
Federal Capital Territory,21.22,9.08,268
Gombe,50.5,26.41,360
Imo,16.54,3.95,314
Jigawa,63.75,35.57,392
Kaduna,49.06,21.97,401
Kano,57.06,30.01,538
Katsina,60.33,36.01,434
Kebbi,66.71,37.4,346
Kogi,20.19,7.87,198
Kwara,32.2,11.27,232
Lagos,16.3,6.0,333
Nasarawa,31.32,11.81,276
Niger,28.05,10.87,408
Ogun,22.78,5.92,274
Ondo,20.91,6.99,214
Osun,22.33,6.77,230
Oyo,33.31,13.8,358
Plateau,45.0,15.54,252
Rivers,17.35,3.02,293
Sokoto,53.99,34.2,289
Taraba,40.73,17.31,294
Yobe,55.34,33.82,327
Zamfara,50.7,23.71,349
