subregion,moderate_prevalence,severe_prevalence,moderate_depth,severe_depth,sample_size
Abia,17.11,3.16,2.18,3.0,483
Adamawa,52.64,26.52,2.66,3.32,1206
Akwa Ibom,32.85,10.11,2.35,3.14,796
Anambra,23.56,1.48,2.06,3.0,469
Bauchi,59.29,25.48,2.52,3.21,1254
Bayelsa,51.28,13.39,2.29,3.11,596
Benue,62.24,34.45,2.72,3.31,822
Borno,38.92,14.3,2.44,3.19,1235
Cross River,53.78,20.79,2.5,3.29,363
Delta,31.23,6.94,2.26,3.19,529
Ebonyi,23.2,7.63,2.38,3.16,720
Edo,22.83,6.9,2.3,3.0,485
Ekiti,35.65,11.13,2.37,3.17,312
Enugu,30.6,3.6,2.12,3.03,543
Gombe,61.23,26.24,2.53,3.23,1015
Imo,21.86,3.27,2.15,3.03,418
Jigawa,73.06,33.9,2.55,3.19,1296
Kaduna,25.76,5.17,2.21,3.04,1154
Kano,50.05,12.46,2.31,3.24,1208
Katsina,60.96,25.28,2.53,3.28,1198
Kebbi,70.08,42.69,2.9,3.48,1225
Kogi,37.23,7.31,2.21,3.09,796
Kwara,38.36,12.51,2.36,3.1,1027
Lagos,21.75,2.04,2.09,3.0,770
Nasarawa,47.82,17.69,2.45,3.21,1212
Niger,52.42,13.2,2.28,3.1,983
Ogun,42.06,20.81,2.57,3.16,591
Ondo,39.0,9.17,2.26,3.11,547
Osun,22.2,4.18,2.24,3.27,523
Oyo,34.42,9.45,2.36,3.3,647
Plateau,54.3,22.26,2.54,3.31,961
Rivers,19.55,4.34,2.25,3.13,538
Sokoto,69.93,38.79,2.76,3.36,819
Taraba,63.35,28.67,2.55,3.21,1123
Yobe,65.3,34.51,2.71,3.34,1728
Zamfara,64.26,18.6,2.33,3.16,940
Fct,25.07,3.41,2.16,3.2,571
