group_id,moderate_prevalence,severe_prevalence,moderate_depth,severe_depth,sample_size
Abia_Rural,19.67,4.05,2.21,3.0,320
Abia_Urban,7.97,0.0,2.0,0.0,163
Adamawa_Rural,61.43,33.96,2.73,3.32,967
Adamawa_Urban,25.01,3.15,2.13,3.0,239
Akwa Ibom_Rural,33.52,10.43,2.36,3.14,630
Akwa Ibom_Urban,16.3,2.28,2.14,3.0,166
Anambra_Rural,33.7,8.39,2.25,3.0,396
Anambra_Urban,21.38,0.0,2.0,0.0,73
Bauchi_Rural,62.62,27.46,2.53,3.21,998
Bauchi_Urban,29.39,7.7,2.38,3.44,256
Bayelsa_Rural,54.72,14.29,2.29,3.11,592
Bayelsa_Urban,0.0,0.0,0.0,0.0,4
Benue_Rural,65.15,36.88,2.74,3.3,769
Benue_Urban,26.41,4.45,2.29,3.73,53
Borno_Rural,47.57,19.88,2.5,3.2,514
Borno_Urban,20.13,2.16,2.11,3.0,721
Cross River_Rural,55.79,21.57,2.5,3.28,311
Cross River_Urban,38.94,15.1,2.51,3.31,52
Delta_Rural,40.97,11.19,2.33,3.21,337
Delta_Urban,19.81,1.96,2.1,3.0,192
Ebonyi_Rural,72.74,39.55,2.67,3.23,667
Ebonyi_Urban,15.7,2.8,2.18,3.0,53
Edo_Rural,29.26,9.69,2.33,3.0,340
Edo_Urban,16.77,4.27,2.25,3.0,145
Ekiti_Rural,52.82,16.01,2.34,3.14,109
Ekiti_Urban,31.8,10.03,2.37,3.18,203
Enugu_Rural,34.11,5.85,2.19,3.08,402
Enugu_Urban,29.5,2.9,2.1,3.0,141
Fct_Rural,43.23,7.33,2.23,3.34,160
Fct_Urban,18.18,1.92,2.11,3.0,411
Gombe_Rural,67.15,31.74,2.58,3.23,759
Gombe_Urban,38.13,4.78,2.14,3.08,256
Imo_Rural,17.04,3.16,2.2,3.06,386
Imo_Urban,26.79,3.39,2.13,3.0,32
Jigawa_Rural,77.82,36.7,2.56,3.19,1162
Jigawa_Urban,27.27,6.85,2.25,3.0,134
Kaduna_Rural,28.76,7.06,2.26,3.05,916
Kaduna_Urban,21.74,2.63,2.12,3.0,238
Kano_Rural,55.45,16.09,2.37,3.28,964
Kano_Urban,39.32,5.26,2.13,3.0,244
Katsina_Rural,64.08,26.76,2.54,3.29,753
Katsina_Urban,48.23,19.24,2.48,3.21,445
Kebbi_Rural,72.8,46.36,2.95,3.49,1036
Kebbi_Urban,48.03,12.79,2.33,3.26,189
Kogi_Rural,44.63,10.83,2.26,3.09,618
Kogi_Urban,21.88,0.0,2.0,0.0,178
Kwara_Rural,74.75,31.24,2.46,3.09,683
Kwara_Urban,17.41,1.72,2.12,3.19,344
Lagos_Rural,33.01,4.88,2.15,3.0,55
Lagos_Urban,21.44,1.96,2.09,3.0,715
Nasarawa_Rural,58.49,23.07,2.48,3.21,806
Nasarawa_Urban,16.11,1.7,2.12,3.09,406
Niger_Rural,60.88,16.59,2.3,3.11,807
Niger_Urban,26.01,2.62,2.1,3.0,176
Ogun_Rural,67.47,37.33,2.65,3.17,271
Ogun_Urban,13.66,2.35,2.17,3.0,320
Ondo_Rural,54.04,15.41,2.32,3.11,305
Ondo_Urban,18.97,0.86,2.05,3.0,242
Osun_Rural,33.96,9.14,2.3,3.12,202
Osun_Urban,18.06,2.44,2.2,3.46,321
Oyo_Rural,63.78,26.42,2.54,3.31,243
Oyo_Urban,20.31,1.29,2.08,3.24,404
Plateau_Rural,68.17,29.66,2.57,3.32,745
Plateau_Urban,15.72,1.68,2.11,3.0,216
Rivers_Rural,27.25,9.13,2.38,3.13,361
Rivers_Urban,12.93,0.22,2.02,3.0,177
Sokoto_Rural,78.61,44.65,2.78,3.37,674
Sokoto_Urban,24.31,7.96,2.37,3.13,145
Taraba_Rural,69.0,32.46,2.57,3.21,972
Taraba_Urban,26.32,3.84,2.15,3.0,151
Yobe_Rural,69.77,38.56,2.75,3.36,1086
Yobe_Urban,50.12,20.75,2.51,3.23,642
Zamfara_Rural,70.6,21.63,2.35,3.16,784
Zamfara_Urban,28.07,1.34,2.05,3.0,156
